"time","rep","importation","facemask","infections"
67,10,1,"0",0
68,10,1,"0",0
69,10,1,"0",0
70,10,1,"0",0
71,10,1,"0",0
72,10,1,"0",0
73,10,1,"0",0
1,11,1,"0",1
2,11,1,"0",0
3,11,1,"0",0
4,11,1,"0",0
5,11,1,"0",0
6,11,1,"0",0
7,11,1,"0",0
8,11,1,"0",0
9,11,1,"0",0
10,11,1,"0",0
11,11,1,"0",0
12,11,1,"0",0
13,11,1,"0",0
14,11,1,"0",0
15,11,1,"0",0
16,11,1,"0",0
17,11,1,"0",0
18,11,1,"0",0
19,11,1,"0",0
20,11,1,"0",0
21,11,1,"0",0
22,11,1,"0",0
23,11,1,"0",0
24,11,1,"0",0
25,11,1,"0",0
26,11,1,"0",0
27,11,1,"0",0
28,11,1,"0",0
29,11,1,"0",0
30,11,1,"0",0
31,11,1,"0",0
32,11,1,"0",0
33,11,1,"0",0
34,11,1,"0",0
35,11,1,"0",0
36,11,1,"0",0
37,11,1,"0",0
38,11,1,"0",0
39,11,1,"0",0
40,11,1,"0",0
41,11,1,"0",0
42,11,1,"0",0
43,11,1,"0",0
44,11,1,"0",0
45,11,1,"0",0
46,11,1,"0",0
47,11,1,"0",0
48,11,1,"0",0
49,11,1,"0",0
50,11,1,"0",0
51,11,1,"0",0
52,11,1,"0",0
53,11,1,"0",0
54,11,1,"0",0
55,11,1,"0",0
56,11,1,"0",0
57,11,1,"0",0
58,11,1,"0",0
59,11,1,"0",0
60,11,1,"0",0
61,11,1,"0",0
62,11,1,"0",0
63,11,1,"0",0
64,11,1,"0",0
65,11,1,"0",0
66,11,1,"0",0
67,11,1,"0",0
68,11,1,"0",0
69,11,1,"0",0
70,11,1,"0",0
71,11,1,"0",0
72,11,1,"0",0
73,11,1,"0",0
1,12,1,"0",0
2,12,1,"0",0
3,12,1,"0",0
4,12,1,"0",0
5,12,1,"0",0
6,12,1,"0",0
7,12,1,"0",0
8,12,1,"0",0
9,12,1,"0",0
10,12,1,"0",0
11,12,1,"0",0
12,12,1,"0",0
13,12,1,"0",0
14,12,1,"0",0
15,12,1,"0",0
16,12,1,"0",0
17,12,1,"0",0
18,12,1,"0",0
19,12,1,"0",0
20,12,1,"0",0
21,12,1,"0",0
22,12,1,"0",0
23,12,1,"0",0
24,12,1,"0",0
25,12,1,"0",0
26,12,1,"0",0
27,12,1,"0",0
28,12,1,"0",0
29,12,1,"0",0
30,12,1,"0",0
31,12,1,"0",0
32,12,1,"0",0
33,12,1,"0",0
34,12,1,"0",0
35,12,1,"0",0
36,12,1,"0",0
37,12,1,"0",0
38,12,1,"0",0
39,12,1,"0",0
40,12,1,"0",0
41,12,1,"0",0
42,12,1,"0",0
43,12,1,"0",0
44,12,1,"0",0
45,12,1,"0",0
46,12,1,"0",0
47,12,1,"0",0
48,12,1,"0",0
49,12,1,"0",0
50,12,1,"0",0
51,12,1,"0",0
52,12,1,"0",0
53,12,1,"0",0
54,12,1,"0",0
55,12,1,"0",0
56,12,1,"0",0
57,12,1,"0",0
58,12,1,"0",0
59,12,1,"0",0
60,12,1,"0",0
61,12,1,"0",0
62,12,1,"0",0
63,12,1,"0",0
64,12,1,"0",0
65,12,1,"0",0
66,12,1,"0",0
67,12,1,"0",0
68,12,1,"0",0
69,12,1,"0",0
70,12,1,"0",0
71,12,1,"0",0
72,12,1,"0",0
73,12,1,"0",0
1,13,1,"0",0
2,13,1,"0",2
3,13,1,"0",0
4,13,1,"0",0
5,13,1,"0",1
6,13,1,"0",0
7,13,1,"0",0
8,13,1,"0",0
9,13,1,"0",0
10,13,1,"0",1
11,13,1,"0",0
12,13,1,"0",0
13,13,1,"0",0
14,13,1,"0",0
15,13,1,"0",0
16,13,1,"0",0
17,13,1,"0",0
18,13,1,"0",0
19,13,1,"0",0
20,13,1,"0",0
21,13,1,"0",0
22,13,1,"0",0
23,13,1,"0",0
24,13,1,"0",0
25,13,1,"0",0
26,13,1,"0",0
27,13,1,"0",0
28,13,1,"0",0
29,13,1,"0",0
30,13,1,"0",0
31,13,1,"0",0
32,13,1,"0",0
33,13,1,"0",0
34,13,1,"0",0
35,13,1,"0",0
36,13,1,"0",0
37,13,1,"0",0
38,13,1,"0",0
39,13,1,"0",0
40,13,1,"0",0
41,13,1,"0",0
42,13,1,"0",0
43,13,1,"0",0
44,13,1,"0",0
45,13,1,"0",0
46,13,1,"0",0
47,13,1,"0",0
48,13,1,"0",0
49,13,1,"0",0
50,13,1,"0",0
51,13,1,"0",0
52,13,1,"0",0
53,13,1,"0",0
54,13,1,"0",0
55,13,1,"0",0
56,13,1,"0",0
57,13,1,"0",0
58,13,1,"0",0
59,13,1,"0",0
60,13,1,"0",0
61,13,1,"0",0
62,13,1,"0",0
63,13,1,"0",0
64,13,1,"0",0
65,13,1,"0",0
66,13,1,"0",0
67,13,1,"0",0
68,13,1,"0",0
69,13,1,"0",0
70,13,1,"0",0
71,13,1,"0",0
72,13,1,"0",0
73,13,1,"0",0
1,14,1,"0",1
2,14,1,"0",0
3,14,1,"0",1
4,14,1,"0",2
5,14,1,"0",4
6,14,1,"0",3
7,14,1,"0",4
8,14,1,"0",4
9,14,1,"0",1
10,14,1,"0",3
11,14,1,"0",2
12,14,1,"0",5
13,14,1,"0",2
14,14,1,"0",6
15,14,1,"0",4
16,14,1,"0",8
17,14,1,"0",5
18,14,1,"0",14
19,14,1,"0",7
20,14,1,"0",7
21,14,1,"0",15
22,14,1,"0",8
23,14,1,"0",18
24,14,1,"0",15
25,14,1,"0",27
26,14,1,"0",24
27,14,1,"0",25
28,14,1,"0",33
29,14,1,"0",24
30,14,1,"0",27
31,14,1,"0",23
32,14,1,"0",20
33,14,1,"0",15
34,14,1,"0",7
35,14,1,"0",14
36,14,1,"0",12
37,14,1,"0",9
38,14,1,"0",3
